book_id,title,death_year,extent_bytes,category,matched_keywords
54161,"The republic of Cicero
Translated from the Latin; and Accompanied With a Critical and Historical Introduction.",-43,224580,other,
5419,"The Satires, Epistles, and Art of Poetry of Horace",-8,284546,other,
5432,The Odes and Carmen Saeculare of Horace,-8,214244,other,
54717,Two Dramatizations from Vergil: I. Dido—the Phœnecian Queen; II. The Fall of Troy,-19,131251,other,
55005,"Amadis of Gaul, Vol. 4",1403,403572,other,
55201,The Republic of Plato,-348,1457578,other,
55317,"The Meditations of the Emperor Marcus Aurelius Antoninus
A new rendering based on the Foulis translation of 1742",180,252060,other,
55564,Lustra of Ezra Pound,762,105052,other,
55758,"The Boys' and Girls' Herodotus
Being Parts of the History of Herodotus, Edited for Boys and Girls",-430,675064,other,
56075,"Seneca's Morals of a Happy Life, Benefits, Anger and Clemency",65,638145,other,
5611,The Satyricon of Petronius Arbiter,66,347823,other,
56286,Tudor school-boy life: the dialogues of Juan Luis Vives,1540,447764,other,
57037,The Prince,1527,195732,other,
57068,"The Festival of Spring, from the Díván of Jeláleddín
Rendered in English Gazels after Rückert's Versions, with an Introduction and a Criticism of the Rubáiyát of Omar Khayyám",1273,152702,other,
57457,The Book of Husbandry,1538,495938,other,
57493,"The Natural History of Pliny, Volume 1 (of 6)",79,1437451,other,
57513,"Plutarch's Romane Questions
With dissertations on Italian cults, myths, taboos, man-worship, aryan marriage, sympathetic magic and the eating of beans",119,341478,other,
57869,The Orlando Innamorato,1494,328757,other,
57999,"The Tragedies of Seneca
Translated into English Verse, to Which Have Been Appended Comparative Analyses of the Corresponding Greek and Roman Plays, and a Mythological Index",65,1068087,other,
58083,"The chronicles of Enguerrand de Monstrelet, Vol. 07 [of 13] : $b containing an account of the cruel civil wars between the houses of Orleans and Burgundy, of the possession of Paris and Normandy by the English, their expulsion thence, and of other memorable events that happened in the kingdom of France, as well as in other countries",1453,470379,other,
58186,A Compendium on the Soul,1037,129692,other,
58242,"The Characters of Theophrastus
A Translation, with Introduction",-287,109635,other,
58393,The Mirror of Alchimy,1294,154246,other,
58418,"Cicero: Letters to Atticus, Vol. 1 of 3",-43,800794,other,
58426,The Speeches & Table-Talk of the Prophet Mohammad,632,314463,other,
58567,Plutarch on the Delay of the Divine Justice,119,187302,other,
58589,"The Boys' and Girls' Pliny
Being parts of Pliny's ""Natural History"" edited for boys and girls, with an Introduction",79,686040,natphil,nature
58783,"The Letters of S. Ambrose, Bishop of Milan",397,1355466,other,
58977,The Confessions of Al Ghazzali,1111,103231,other,
59025,Index of the Project Gutenberg Works of Lucius Annaeus Seneca,65,25841,other,
59058,"Aristotle's History of Animals
In Ten Books",-322,794914,other,
59131,"The Natural History of Pliny, Volume 3 (of 6)",79,1404227,natphil,nature
59225,The Lyrical Dramas of Aeschylus Translated into English Verse,-456,959090,other,
59750,Ulysses of Ithaca,-650,243030,other,
59784,Index of the Project Gutenberg Works of Marcus Aurelius Antoninus,180,61310,other,
59786,Index of the Project Gutenberg Works of Cornelius Tacitus,117,30095,other,
598,"Heimskringla; Or, The Chronicle of the Kings of Norway",1241,1748902,other,
59997,"The Poetical Works of John Skelton, Volume 1 (of 2)",1529,881377,other,
59998,"The Poetical Works of John Skelton, Volume 2 (of 2)",1529,1035955,other,
602,Pharsalia; Dramatic Episodes of the Civil Wars,65,506595,other,
60230,"The Natural History of Pliny, Volume 2 (of 6)",79,1551694,natphil,nature
6032,Memoirs or Chronicle of the Fourth Crusade and the Conquest of Constantinople,1212,319012,other,
60377,"The Following of Christ, in Four Books
Translated from the Original Latin of Thomas a Kempis",1471,388429,other,
